target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
fast_1atr_touch,1H,test,0.9801744647105471,842,815,0.9679334916864608,0.031188088778693324,0.0,0.14510844492475936,0.44826175869120655,0.9764923726827345,0.012240973024086332,,
up_excursion_ge_1_0_atr,1H,validation,0.6451229183187946,840,528,0.6285714285714286,0.23374333956795917,0.0,0.6603058966279519,0.4891523407148407,0.6389707841287524,0.0165514897473662,,
up_excursion_ge_1_0_atr,1H,test,0.6451229183187946,842,539,0.6401425178147269,0.23038487908972988,0.0,0.6533902107904912,0.5022563480837879,0.6318107501849852,0.0049804005040678945,,
up_excursion_ge_1_0_atr,2H,validation,0.746031746031746,838,627,0.7482100238663485,0.1883965289465915,0.0,0.5643056492258995,0.4715299666659108,0.7722397533264042,0.002178277834602338,,
up_excursion_ge_1_0_atr,2H,test,0.746031746031746,842,631,0.7494061757719715,0.18780794626287217,0.0,0.5630167251188002,0.5108944652661465,0.7321399173890815,0.003374429740225393,,
up_excursion_ge_1_0_atr,4H,validation,0.825516693163752,834,697,0.8357314148681055,0.1373887576101574,0.0,0.4470488110661959,0.45676465352030077,0.85736737693156,0.010214721704353558,,
up_excursion_ge_1_0_atr,4H,test,0.825516693163752,842,714,0.8479809976247031,0.12941387026703066,0.0,0.4280107495054071,0.5150231967787114,0.8298830392724302,0.022464304460951157,,
up_excursion_ge_1_0_atr,8H,validation,0.8740031897926634,826,735,0.8898305084745762,0.09828267867911214,0.0,0.3480505473141672,0.4838454062943859,0.8952062124347079,0.015827318681912672,,
up_excursion_ge_1_0_atr,8H,test,0.8740031897926634,842,766,0.9097387173396675,0.08339121144190675,0.0,0.3094917822128809,0.5652054418029407,0.8829801996069182,0.03573552754700404,,
up_excursion_ge_1_0_atr,12H,validation,0.8912,818,747,0.91320293398533,0.07974746444987775,0.0,0.2977256334855644,0.5056281463883704,0.9113959076504962,0.022002933985330264,,
up_excursion_ge_1_0_atr,12H,test,0.8912,842,784,0.9311163895486936,0.06573197681710215,0.0,0.2600526057896024,0.5189567206192822,0.9243263106368521,0.03991638954869381,,
up_excursion_ge_1_0_atr,24H,validation,0.9244749596122779,794,744,0.9370277078085643,0.05916435409487158,0.0,0.2362598996893243,0.49473118279569894,0.9324925730724042,0.01255274819628649,,
up_excursion_ge_1_0_atr,24H,test,0.9244749596122779,842,813,0.9655581947743468,0.034943399489833236,0.0,0.16479782856669603,0.5562200449590703,0.9638435460787137,0.04108323516206902,,
down_excursion_ge_1_0_atr,1H,validation,0.6609833465503568,840,551,0.655952380952381,0.22570416549013153,0.0,0.6437401463838992,0.4571555963049253,0.6997640586622562,0.005030965597976111,,
down_excursion_ge_1_0_atr,1H,test,0.6609833465503568,842,535,0.6353919239904988,0.23232394782678822,0.0,0.6574679402359574,0.4982434777314378,0.6487355528226487,0.025591422559858135,,
down_excursion_ge_1_0_atr,2H,validation,0.7571428571428571,838,624,0.7446300715990454,0.19031269787151134,0.0,0.5685790013756664,0.4557647375988497,0.7758861028058808,0.012512785543811633,,
down_excursion_ge_1_0_atr,2H,test,0.7571428571428571,842,631,0.7494061757719715,0.18785641572543502,0.0,0.5631481956749521,0.5008524797019701,0.7544697558536828,0.0077366813708854565,,
